model,accuracy,precision_macro,recall_macro,f1_macro,preprocessing,rank
gradient_boosting,0.8268156424581006,0.8276653171390014,0.8124839124839125,0.817712952925331,standard,1
gradient_boosting,0.8212290502793296,0.8227581521739131,0.8057271557271557,0.8113306982872199,scaled,2
logistic_regression,0.8100558659217877,0.8069687334393216,0.7981981981981983,0.8015779864371413,standard,3
random_forest,0.7988826815642458,0.7951112877583466,0.7866795366795367,0.789906103286385,scaled,4
random_forest,0.7932960893854749,0.7898454157782516,0.7799227799227799,0.7835408700199366,standard,5
logistic_regression,0.6536312849162011,0.8143712574850299,0.5810810810810811,0.5255642954856361,scaled,6
